Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,4,4,0,0,0,4
BrowserAppInstanceMap,0,3,3,0,0,0,3
BrowserInterfaceBrokerImpl,0,2,2,0,0,0,2
CachedValue,0,2,2,0,0,0,2
HasValue,0,0,0,0,1,1,1
HashMap,0,21,21,0,1,1,22
HashSet,0,21,21,0,3,3,24
HeapHashMap,0,6,6,0,0,0,6
IAsyncOperation,0,0,0,0,2,2,2
IAsyncOperationCompletedHandler,0,0,0,0,2,2,2
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
Member,0,27,27,0,0,0,27
NSArray,0,7,7,0,0,0,7
NSDictionary,0,2,2,0,0,0,2
NSMutableSet,0,1,1,0,0,0,1
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,3,0,3,0,0,0,3
Ranges,0,6,6,0,0,0,6
SafeOptional,46,0,46,0,0,0,46
UntracedMember,0,2,2,0,0,0,2
Vector,0,21,21,0,1,1,22
VectorChangedEventHandler,0,5,5,0,4,4,9
absl::InlinedVector,0,2,2,0,0,0,2
absl::flat_hash_map,7,4,11,0,0,0,11
absl::flat_hash_set,1,1,2,0,0,0,2
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,1,9,10,0,11,11,21
base::HashingLRUCache,0,1,1,0,0,0,1
base::IDMap,0,7,7,0,0,0,7
base::LRUCache,1,2,3,0,0,0,3
base::LRUCacheSet,0,1,1,0,0,0,1
base::WeakPtr,0,0,0,1,0,1,1
base::WeakPtrFactory,0,0,0,1,0,1,1
base::circular_deque,1,3,4,0,2,2,6
base::flat_map,71,144,215,12,10,22,237
base::flat_set,93,14,107,4,1,5,112
base::queue,7,0,7,1,0,1,8
base::raw_span,0,3,3,0,0,0,3
base::span,0,4,4,0,0,0,4
base::stack,1,0,1,1,0,1,2
blink::Vector,0,1,1,0,0,0,1
cc::RTree,0,1,1,0,0,0,1
flat_map,1,1,2,0,0,0,2
internal::ScopedArCoreObject,0,7,7,0,0,0,7
internal::ScopedCardboardObject,0,3,3,0,0,0,3
list_set,0,1,1,0,0,0,1
mojo::AssociatedReceiverSet,0,2,2,0,0,0,2
mojo::BinderMapWithContext,0,1,1,0,0,0,1
mojo::UniqueReceiverSet,0,2,2,0,0,0,2
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,2,2,4,1,5,6,10
raw_span,0,0,0,0,1,1,1
std::array,0,19,19,2,3,5,24
std::atomic,0,37,37,0,1,1,38
std::deque,1,0,1,0,0,0,1
std::initializer_list,0,0,0,0,2,2,2
std::list,25,1,26,1,0,1,27
std::map,128,225,353,45,84,129,482
std::multimap,2,1,3,0,0,0,3
std::multiset,0,2,2,0,0,0,2
std::optional,9,16,25,1,5,6,31
std::pair,0,0,0,0,1,1,1
std::queue,2,1,3,1,0,1,4
std::set,140,14,154,26,3,29,183
std::stack,1,0,1,0,0,0,1
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,6,6,0,0,0,6
std::unordered_map,18,32,50,4,2,6,56
std::unordered_set,21,6,27,0,0,0,27
std::variant,7,12,19,0,0,0,19
std::vector,290,69,359,114,27,141,500
ui::ClassProperty,0,11,11,0,0,0,11
