Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,17,17,0,10,10,27
BrowserAppInstanceMap,0,3,3,0,0,0,3
ComPtr,0,0,0,0,2,2,2
DenseMap,0,1,1,0,0,0,1
HashMap,0,6,6,0,1,1,7
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
HeapVector,0,2,2,0,0,0,2
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
LinkedHashSet,0,2,2,0,0,0,2
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,28,28,0,0,0,28
NSArray,0,18,18,0,1,1,19
NSCache,0,1,1,0,0,0,1
NSDictionary,0,8,8,0,0,0,8
NSMutableArray,0,1,1,0,0,0,1
NSMutableDictionary,0,4,4,0,0,0,4
NodeSetView,0,42,42,0,0,0,42
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,46,0,46,0,0,0,46
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
SettingsTable,0,0,0,0,1,1,1
SmallVector,0,1,1,0,0,0,1
StatusOr,0,1,1,0,0,0,1
StringMap,0,1,1,0,0,0,1
UniqueReceiverSet,0,2,2,0,0,0,2
UntracedMember,0,2,2,0,0,0,2
Vector,0,17,17,0,2,2,19
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,1,7,8,2,8,10,18
atomic,0,26,26,0,1,1,27
circular_deque,1,2,3,0,3,3,6
deque,1,1,2,0,0,0,2
expected,0,11,11,0,0,0,11
flat_hash_map,3,4,7,0,0,0,7
flat_hash_set,0,1,1,0,0,0,1
flat_map,50,114,164,13,12,25,189
flat_set,65,15,80,5,2,7,87
initializer_list,0,0,0,0,1,1,1
list,17,3,20,27,32,59,79
map,95,223,318,49,87,136,454
multimap,1,0,1,0,0,0,1
multiset,1,1,2,0,0,0,2
optional,4,28,32,2,14,16,48
pair,0,14,14,0,3,3,17
queue,9,0,9,4,3,7,16
raw_ptr,4,16,20,6,9,15,35
raw_ref,0,0,0,2,1,3,3
raw_span,0,6,6,0,5,5,11
set,93,45,138,26,4,30,168
span,0,67,67,0,1,1,68
stack,0,0,0,3,2,5,5
tuple,0,6,6,0,0,0,6
unique_ptr,0,5,5,0,3,3,8
unordered_map,17,34,51,4,4,8,59
unordered_set,12,5,17,1,1,2,19
variant,11,14,25,0,2,2,27
vector,237,356,593,171,154,325,918
