Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,20,20,0,12,12,32
BrowserInterfaceBrokerImpl,0,1,1,0,0,0,1
ComPtr,0,0,0,0,2,2,2
DenseMap,0,1,1,0,0,0,1
HashMap,0,6,6,0,1,1,7
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
HeapArray,0,1,1,0,0,0,1
HeapVector,0,2,2,0,0,0,2
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
LinkedHashSet,0,2,2,0,0,0,2
Matcher,0,0,0,0,1,1,1
Member,0,28,28,0,0,0,28
NSArray,0,24,24,0,1,1,25
NSCache,0,3,3,0,0,0,3
NSDictionary,0,8,8,0,0,0,8
NSMutableArray,0,4,4,0,0,0,4
NSMutableDictionary,0,4,4,0,0,0,4
NSMutableSet,0,1,1,0,0,0,1
NodeSetView,0,42,42,0,0,0,42
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,47,0,47,0,0,0,47
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
SettingsTable,0,0,0,0,1,1,1
SmallVector,0,1,1,0,0,0,1
StatusOr,0,1,1,0,0,0,1
StringMap,0,1,1,0,0,0,1
UniqueReceiverSet,0,2,2,0,0,0,2
UntracedMember,0,1,1,0,0,0,1
VariantMap,1,0,1,0,0,0,1
Vector,0,17,17,0,2,2,19
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,9,9,2,9,11,20
atomic,0,27,27,0,1,1,28
circular_deque,1,3,4,0,2,2,6
conditional_t,1,0,1,0,0,0,1
deque,1,1,2,0,0,0,2
expected,0,12,12,0,0,0,12
flat_hash_map,5,10,15,1,1,2,17
flat_hash_set,2,4,6,0,0,0,6
flat_map,50,114,164,13,12,25,189
flat_set,64,17,81,5,2,7,88
initializer_list,0,0,0,0,1,1,1
list,17,1,18,27,32,59,77
map,98,228,326,45,87,132,458
multimap,1,0,1,0,0,0,1
multiset,1,1,2,0,0,0,2
optional,4,25,29,1,14,15,44
pair,0,14,14,0,3,3,17
queue,8,0,8,4,3,7,15
raw_ptr,4,15,19,6,6,12,31
raw_ref,0,0,0,2,3,5,5
raw_span,0,7,7,0,5,5,12
set,89,43,132,26,5,31,163
span,0,70,70,0,1,1,71
stack,0,0,0,3,2,5,5
tuple,0,8,8,0,0,0,8
unique_ptr,0,4,4,0,4,4,8
unordered_map,16,33,49,4,4,8,57
unordered_set,12,4,16,1,1,2,18
variant,7,13,20,0,2,2,22
vector,233,402,635,174,154,328,963
