Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,7,7,0,0,0,7
BrowserAppInstanceMap,0,3,3,0,0,0,3
BrowserInterfaceBrokerImpl,0,2,2,0,0,0,2
HasValue,0,0,0,0,1,1,1
HashMap,0,17,17,0,1,1,18
HashSet,0,21,21,0,4,4,25
HeapHashMap,0,7,7,0,0,0,7
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
LinkedHashSet,0,1,1,0,0,0,1
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
Member,0,21,21,0,0,0,21
NSArray,0,6,6,0,0,0,6
NSDictionary,0,2,2,0,0,0,2
NSMutableSet,0,2,2,0,0,0,2
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,3,0,3,0,0,0,3
Ranges,0,6,6,0,0,0,6
UntracedMember,0,1,1,0,0,0,1
Vector,0,25,25,0,1,1,26
VectorChangedEventHandler,0,5,5,0,4,4,9
WTF::HashMap,0,3,3,0,0,0,3
WTF::HashSet,0,1,1,0,0,0,1
WebVector,0,1,1,0,0,0,1
absl::InlinedVector,0,1,1,0,0,0,1
absl::optional,5,12,17,0,2,2,19
absl::variant,2,6,8,0,0,0,8
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,0,11,11,0,4,4,15
base::HashingLRUCache,0,1,1,0,0,0,1
base::IDMap,0,8,8,0,0,0,8
base::LRUCache,0,3,3,0,0,0,3
base::LRUCacheSet,0,1,1,0,0,0,1
base::WeakPtr,0,0,0,0,1,1,1
base::WeakPtrFactory,0,0,0,0,1,1,1
base::circular_deque,0,5,5,0,3,3,8
base::flat_map,6,177,183,2,26,28,211
base::flat_set,10,101,111,0,4,4,115
base::queue,1,9,10,0,2,2,12
base::span,0,5,5,0,0,0,5
base::stack,0,1,1,0,1,1,2
cc::RTree,0,1,1,0,0,0,1
flat_map,0,1,1,0,0,0,1
internal::ScopedArCoreObject,0,7,7,0,0,0,7
internal::ScopedCardboardObject,0,3,3,0,0,0,3
list_set,0,1,1,0,0,0,1
mojo::AssociatedReceiverSet,0,2,2,0,0,0,2
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,0,3,3,0,10,10,13
span,0,0,0,0,1,1,1
std::array,0,5,5,1,1,2,7
std::atomic,0,29,29,0,1,1,30
std::deque,0,1,1,0,0,0,1
std::initializer_list,0,0,0,0,2,2,2
std::list,1,33,34,0,2,2,36
std::map,10,324,334,1,115,116,450
std::multimap,0,2,2,0,0,0,2
std::multiset,0,3,3,0,0,0,3
std::queue,0,4,4,0,1,1,5
std::set,3,154,157,0,28,28,185
std::stack,0,1,1,0,0,0,1
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,6,6,0,0,0,6
std::unordered_map,1,41,42,0,9,9,51
std::unordered_set,0,23,23,0,1,1,24
std::vector,18,343,361,4,134,138,499
subtle::UncompressedMember,0,1,1,0,0,0,1
ui::ClassProperty,0,12,12,0,0,0,12
