Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,5,5,0,0,0,5
BrowserAppInstanceMap,0,3,3,0,0,0,3
BrowserInterfaceBrokerImpl,0,2,2,0,0,0,2
CachedValue,0,2,2,0,0,0,2
HasValue,0,0,0,0,1,1,1
HashMap,0,17,17,0,1,1,18
HashSet,0,21,21,0,3,3,24
HeapHashMap,0,6,6,0,0,0,6
IAsyncOperation,0,0,0,0,2,2,2
IAsyncOperationCompletedHandler,0,0,0,0,2,2,2
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,26,26,0,0,0,26
NSArray,0,7,7,0,0,0,7
NSDictionary,0,2,2,0,0,0,2
NSMutableSet,0,2,2,0,0,0,2
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,3,0,3,0,0,0,3
Ranges,0,6,6,0,0,0,6
SafeOptional,45,0,45,0,0,0,45
UntracedMember,0,2,2,0,0,0,2
Vector,0,24,24,0,1,1,25
VectorChangedEventHandler,0,5,5,0,4,4,9
WTF::HashMap,0,4,4,0,0,0,4
WTF::Vector,0,1,1,0,0,0,1
WebVector,0,1,1,0,0,0,1
absl::InlinedVector,0,2,2,0,0,0,2
absl::flat_hash_map,0,1,1,0,0,0,1
absl::variant,3,9,12,0,0,0,12
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,0,10,10,0,3,3,13
base::HashingLRUCache,0,1,1,0,0,0,1
base::IDMap,0,8,8,0,0,0,8
base::LRUCache,1,2,3,0,0,0,3
base::LRUCacheSet,0,1,1,0,0,0,1
base::WeakPtr,0,0,0,1,0,1,1
base::WeakPtrFactory,0,0,0,1,0,1,1
base::circular_deque,0,3,3,0,3,3,6
base::flat_map,73,139,212,11,10,21,233
base::flat_set,94,10,104,4,1,5,109
base::queue,8,0,8,1,0,1,9
base::raw_span,0,1,1,0,0,0,1
base::span,0,2,2,0,0,0,2
base::stack,1,0,1,1,0,1,2
cc::RTree,0,1,1,0,0,0,1
flat_map,1,0,1,0,0,0,1
internal::ScopedArCoreObject,0,7,7,0,0,0,7
internal::ScopedCardboardObject,0,3,3,0,0,0,3
list_set,0,1,1,0,0,0,1
mojo::AssociatedReceiverSet,0,2,2,0,0,0,2
mojo::BinderMapWithContext,0,1,1,0,0,0,1
mojo::UniqueReceiverSet,0,1,1,0,0,0,1
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,2,2,4,1,8,9,13
raw_span,0,0,0,0,1,1,1
std::array,0,14,14,2,2,4,18
std::atomic,0,34,34,0,1,1,35
std::initializer_list,0,0,0,0,2,2,2
std::list,26,3,29,1,0,1,30
std::map,128,222,350,48,82,130,480
std::multimap,2,1,3,0,0,0,3
std::multiset,0,2,2,0,0,0,2
std::optional,6,16,22,2,4,6,28
std::pair,0,0,0,0,1,1,1
std::queue,2,1,3,1,0,1,4
std::set,144,13,157,27,2,29,186
std::stack,1,0,1,0,0,0,1
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,6,6,0,0,0,6
std::unordered_map,16,31,47,5,4,9,56
std::unordered_set,21,7,28,0,0,0,28
std::variant,9,1,10,0,0,0,10
std::vector,303,62,365,116,25,141,506
subtle::UncompressedMember,0,1,1,0,0,0,1
ui::ClassProperty,0,12,12,0,0,0,12
