Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,5,5,0,0,0,5
BrowserAppInstanceMap,0,3,3,0,0,0,3
BrowserInterfaceBrokerImpl,0,1,1,0,0,0,1
CachedValue,0,2,2,0,0,0,2
HasValue,0,0,0,0,1,1,1
HashMap,0,17,17,0,1,1,18
HashSet,0,21,21,0,3,3,24
HeapHashMap,0,6,6,0,0,0,6
IAsyncOperation,0,0,0,0,2,2,2
IAsyncOperationCompletedHandler,0,0,0,0,2,2,2
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,23,23,0,0,0,23
NSArray,0,7,7,0,0,0,7
NSDictionary,0,2,2,0,0,0,2
NSMutableSet,0,2,2,0,0,0,2
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,3,0,3,0,0,0,3
Ranges,0,6,6,0,0,0,6
SafeOptional,44,0,44,0,0,0,44
UntracedMember,0,3,3,0,0,0,3
Vector,0,23,23,0,1,1,24
VectorChangedEventHandler,0,5,5,0,4,4,9
WTF::HashMap,0,4,4,0,0,0,4
WTF::Vector,0,1,1,0,0,0,1
WebVector,0,1,1,0,0,0,1
absl::InlinedVector,0,1,1,0,0,0,1
absl::flat_hash_map,0,1,1,0,0,0,1
absl::variant,3,10,13,0,0,0,13
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,0,10,10,0,4,4,14
base::HashingLRUCache,0,1,1,0,0,0,1
base::IDMap,0,8,8,0,0,0,8
base::LRUCache,0,2,2,0,0,0,2
base::LRUCacheSet,0,1,1,0,0,0,1
base::WeakPtr,0,0,0,1,0,1,1
base::WeakPtrFactory,0,0,0,1,0,1,1
base::circular_deque,0,3,3,0,3,3,6
base::flat_map,17,189,206,4,17,21,227
base::flat_set,92,10,102,4,1,5,107
base::queue,8,0,8,1,0,1,9
base::raw_span,0,1,1,0,0,0,1
base::span,0,3,3,0,0,0,3
base::stack,1,0,1,1,0,1,2
cc::RTree,0,1,1,0,0,0,1
flat_map,0,1,1,0,0,0,1
internal::ScopedArCoreObject,0,7,7,0,0,0,7
internal::ScopedCardboardObject,0,3,3,0,0,0,3
list_set,0,1,1,0,0,0,1
mojo::AssociatedReceiverSet,0,2,2,0,0,0,2
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,2,2,4,1,8,9,13
raw_span,0,0,0,0,1,1,1
std::array,0,13,13,2,2,4,17
std::atomic,0,30,30,0,1,1,31
std::initializer_list,0,0,0,0,2,2,2
std::list,26,3,29,1,0,1,30
std::map,21,315,336,3,119,122,458
std::multimap,0,2,2,0,0,0,2
std::multiset,0,2,2,0,0,0,2
std::optional,6,14,20,1,2,3,23
std::pair,0,0,0,0,1,1,1
std::queue,2,1,3,1,0,1,4
std::set,145,10,155,28,1,29,184
std::stack,1,0,1,0,0,0,1
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,6,6,0,0,0,6
std::unordered_map,1,45,46,0,9,9,55
std::unordered_set,21,7,28,0,0,0,28
std::variant,7,0,7,0,0,0,7
std::vector,298,58,356,118,24,142,498
subtle::UncompressedMember,0,1,1,0,0,0,1
ui::ClassProperty,0,12,12,0,0,0,12
