Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AssociatedReceiverSet,0,1,1,0,0,0,1
AutoReset,0,21,21,0,12,12,33
BrowserInterfaceBrokerImpl,0,1,1,0,0,0,1
ComPtr,0,0,0,0,2,2,2
DenseMap,0,1,1,0,0,0,1
HashMap,0,6,6,0,1,1,7
HashSet,0,4,4,0,0,0,4
HashingLRUCache,0,1,1,0,0,0,1
HeapArray,0,1,1,0,0,0,1
HeapVector,0,2,2,0,0,0,2
IDMap,0,3,3,0,0,0,3
InlinedVector,0,1,1,0,0,0,1
LRUCache,1,0,1,0,0,0,1
LinkedHashSet,0,2,2,0,0,0,2
Matcher,0,0,0,0,1,1,1
Member,0,28,28,0,0,0,28
NSArray,0,24,24,0,1,1,25
NSCache,0,4,4,0,0,0,4
NSDictionary,0,8,8,0,0,0,8
NSMutableArray,0,4,4,0,0,0,4
NSMutableDictionary,0,4,4,0,0,0,4
NSMutableSet,0,1,1,0,0,0,1
NodeSetView,0,42,42,0,0,0,42
OwnedObjects,0,1,1,0,0,0,1
SafeOptional,49,0,49,0,0,0,49
ScopedArCoreObject,0,7,7,0,0,0,7
ScopedCardboardObject,0,1,1,0,0,0,1
SettingsTable,0,0,0,0,1,1,1
SmallVector,0,1,1,0,0,0,1
StatusOr,0,1,1,0,0,0,1
StringMap,0,1,1,0,0,0,1
UniqueReceiverSet,0,2,2,0,0,0,2
UntracedMember,0,1,1,0,0,0,1
Vector,0,17,17,0,2,2,19
WeakPtr,0,0,0,1,0,1,1
WeakPtrFactory,0,0,0,1,0,1,1
array,0,9,9,2,9,11,20
atomic,0,27,27,0,1,1,28
circular_deque,1,3,4,0,2,2,6
conditional_t,1,0,1,0,0,0,1
deque,1,1,2,0,0,0,2
expected,0,14,14,0,0,0,14
flat_hash_map,6,15,21,1,2,3,24
flat_hash_set,2,4,6,0,0,0,6
flat_map,55,118,173,13,15,28,201
flat_set,67,17,84,5,2,7,91
initializer_list,0,0,0,0,2,2,2
list,17,0,17,27,32,59,76
map,99,228,327,45,90,135,462
multimap,1,0,1,0,0,0,1
multiset,1,1,2,0,0,0,2
optional,6,27,33,1,21,22,55
pair,0,17,17,0,3,3,20
queue,6,0,6,4,3,7,13
raw_ptr,4,13,17,6,6,12,29
raw_ref,0,0,0,2,3,5,5
raw_span,0,7,7,0,6,6,13
set,88,43,131,26,5,31,162
span,0,71,71,0,1,1,72
stack,0,0,0,3,2,5,5
tuple,0,8,8,0,0,0,8
unique_ptr,0,4,4,0,4,4,8
unordered_map,16,34,50,4,4,8,58
unordered_set,12,4,16,1,1,2,18
variant,7,13,20,0,2,2,22
vector,233,416,649,175,160,335,984
