Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,4,4,0,0,0,4
BrowserAppInstanceMap,0,3,3,0,0,0,3
BrowserInterfaceBrokerImpl,0,2,2,0,0,0,2
CachedValue,0,2,2,0,0,0,2
HasValue,0,0,0,0,1,1,1
HashMap,0,18,18,0,1,1,19
HashSet,0,21,21,0,3,3,24
HeapHashMap,0,6,6,0,0,0,6
IAsyncOperation,0,0,0,0,2,2,2
IAsyncOperationCompletedHandler,0,0,0,0,2,2,2
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
MaybeConstT,0,7,7,0,0,0,7
Member,0,28,28,0,0,0,28
NSArray,0,7,7,0,0,0,7
NSDictionary,0,2,2,0,0,0,2
NSMutableSet,0,2,2,0,0,0,2
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,3,0,3,0,0,0,3
Ranges,0,6,6,0,0,0,6
SafeOptional,45,0,45,0,0,0,45
UntracedMember,0,2,2,0,0,0,2
Vector,0,23,23,0,1,1,24
VectorChangedEventHandler,0,5,5,0,4,4,9
WTF::HashMap,0,4,4,0,0,0,4
WTF::Vector,0,1,1,0,0,0,1
absl::InlinedVector,0,2,2,0,0,0,2
absl::flat_hash_map,0,1,1,0,0,0,1
absl::variant,3,10,13,0,0,0,13
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,1,9,10,0,6,6,16
base::HashingLRUCache,0,1,1,0,0,0,1
base::IDMap,0,8,8,0,0,0,8
base::LRUCache,1,2,3,0,0,0,3
base::LRUCacheSet,0,1,1,0,0,0,1
base::WeakPtr,0,0,0,1,0,1,1
base::WeakPtrFactory,0,0,0,1,0,1,1
base::circular_deque,1,3,4,0,3,3,7
base::flat_map,72,137,209,12,10,22,231
base::flat_set,93,12,105,4,1,5,110
base::queue,8,0,8,1,0,1,9
base::raw_span,0,3,3,0,0,0,3
base::span,0,3,3,0,0,0,3
base::stack,1,0,1,1,0,1,2
cc::RTree,0,1,1,0,0,0,1
flat_map,1,1,2,0,0,0,2
internal::ScopedArCoreObject,0,7,7,0,0,0,7
internal::ScopedCardboardObject,0,3,3,0,0,0,3
list_set,0,1,1,0,0,0,1
mojo::AssociatedReceiverSet,0,2,2,0,0,0,2
mojo::BinderMapWithContext,0,1,1,0,0,0,1
mojo::UniqueReceiverSet,0,1,1,0,0,0,1
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,2,2,4,1,8,9,13
raw_span,0,0,0,0,1,1,1
std::array,0,15,15,2,2,4,19
std::atomic,0,36,36,0,1,1,37
std::initializer_list,0,0,0,0,2,2,2
std::list,24,3,27,1,0,1,28
std::map,130,226,356,47,85,132,488
std::multimap,2,1,3,0,0,0,3
std::multiset,0,2,2,0,0,0,2
std::optional,6,16,22,2,4,6,28
std::pair,0,0,0,0,1,1,1
std::queue,2,1,3,1,0,1,4
std::set,142,13,155,27,2,29,184
std::stack,1,0,1,0,0,0,1
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,6,6,0,0,0,6
std::unordered_map,17,32,49,4,3,7,56
std::unordered_set,20,7,27,0,0,0,27
std::variant,10,0,10,0,0,0,10
std::vector,302,65,367,116,24,140,507
subtle::UncompressedMember,0,1,1,0,0,0,1
ui::ClassProperty,0,11,11,0,0,0,11
