Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,2,2,0,0,0,2
BrowserAppInstanceMap,0,3,3,0,0,0,3
BrowserInterfaceBrokerImpl,0,2,2,0,0,0,2
HasValue,0,0,0,0,1,1,1
HashMap,0,18,18,0,1,1,19
HashSet,0,22,22,0,4,4,26
HeapHashMap,0,6,6,0,0,0,6
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
LinkedHashSet,0,1,1,0,0,0,1
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
Member,0,28,28,0,0,0,28
NSArray,0,1,1,0,0,0,1
NSDictionary,0,2,2,0,0,0,2
NSMutableSet,0,2,2,0,0,0,2
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,3,0,3,0,0,0,3
Ranges,0,4,4,0,0,0,4
UntracedMember,0,1,1,0,0,0,1
Vector,0,23,23,0,1,1,24
VectorChangedEventHandler,0,5,5,0,4,4,9
WTF::HashMap,0,3,3,0,0,0,3
WTF::HashSet,0,1,1,0,0,0,1
WebVector,0,1,1,0,0,0,1
absl::optional,2,13,15,0,2,2,17
absl::variant,0,5,5,0,0,0,5
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,0,11,11,0,4,4,15
base::HashingLRUCache,0,1,1,0,0,0,1
base::IDMap,0,10,10,0,0,0,10
base::LRUCache,0,3,3,0,0,0,3
base::StackVector,0,1,1,0,0,0,1
base::WeakPtr,0,0,0,0,1,1,1
base::WeakPtrFactory,0,0,0,0,1,1,1
base::circular_deque,0,6,6,0,6,6,12
base::flat_map,4,173,177,0,25,25,202
base::flat_set,3,101,104,0,4,4,108
base::queue,1,9,10,0,1,1,11
base::span,0,3,3,0,0,0,3
base::stack,0,1,1,0,1,1,2
cc::RTree,0,1,1,0,0,0,1
internal::ScopedArCoreObject,0,7,7,0,0,0,7
list_set,0,1,1,0,0,0,1
mojo::AssociatedReceiverSet,0,2,2,0,0,0,2
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,0,3,3,0,10,10,13
std::aligned_storage_t,0,2,2,0,0,0,2
std::array,0,6,6,1,1,2,8
std::atomic,0,29,29,0,1,1,30
std::deque,0,1,1,0,0,0,1
std::list,1,32,33,0,2,2,35
std::map,2,318,320,1,111,112,432
std::multimap,0,2,2,0,0,0,2
std::multiset,0,3,3,0,0,0,3
std::queue,0,4,4,0,1,1,5
std::set,3,154,157,0,32,32,189
std::stack,0,1,1,0,0,0,1
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,5,5,0,0,0,5
std::unordered_map,1,42,43,0,9,9,52
std::unordered_multimap,0,1,1,0,0,0,1
std::unordered_set,0,22,22,0,1,1,23
std::vector,14,345,359,4,134,138,497
ui::ClassProperty,0,12,12,0,0,0,12
